# x1,x2,x3,x4,u
1.092700004577636719e+01,-2.000000094994902611e-03,5.346599960327148438e+01,-1.729999929666519165e-01,-1.822999954223632812e+00
1.092700004577636719e+01,7.999999821186065674e-02,5.346599960327148438e+01,1.389999985694885254e-01,-1.822999954223632812e+00
1.092700004577636719e+01,4.000000189989805222e-03,5.346599960327148438e+01,-1.420000046491622925e-01,-1.822999954223632812e+00
1.092700004577636719e+01,7.100000232458114624e-02,5.346599960327148438e+01,9.899999946355819702e-02,-1.822999954223632812e+00
1.092700004577636719e+01,1.400000043213367462e-02,5.346599960327148438e+01,-9.499999880790710449e-02,-1.822999954223632812e+00
1.092700004577636719e+01,5.799999833106994629e-02,5.346599960327148438e+01,4.600000008940696716e-02,-1.822999954223632812e+00
1.092700004577636719e+01,2.700000070035457611e-02,5.346599960327148438e+01,-3.799999877810478210e-02,-1.822999954223632812e+00
1.092700004577636719e+01,4.300000146031379700e-02,5.346599960327148438e+01,-1.200000010430812836e-02,-1.822999954223632812e+00
1.092700004577636719e+01,4.100000113248825073e-02,5.346599960327148438e+01,1.999999955296516418e-02,-1.822999954223632812e+00
1.092700004577636719e+01,2.899999916553497314e-02,5.346599960327148438e+01,-6.899999827146530151e-02,-1.822999954223632812e+00
1.092700004577636719e+01,5.400000140070915222e-02,5.346599960327148438e+01,7.400000095367431641e-02,-1.822999954223632812e+00
1.092700004577636719e+01,1.600000075995922089e-02,5.346599960327148438e+01,-1.169999986886978149e-01,-1.822999954223632812e+00
1.092700004577636719e+01,6.499999761581420898e-02,5.346599960327148438e+01,1.150000020861625671e-01,-1.822999954223632812e+00
1.092700004577636719e+01,6.000000052154064178e-03,5.346599960327148438e+01,-1.500000059604644775e-01,-1.822999954223632812e+00
1.092700004577636719e+01,7.199999690055847168e-02,5.346599960327148438e+01,1.389999985694885254e-01,-1.822999954223632812e+00
1.092700004577636719e+01,1.000000047497451305e-03,5.346599960327148438e+01,-1.650000065565109253e-01,-1.822999954223632812e+00
1.092700004577636719e+01,7.400000095367431641e-02,5.346599960327148438e+01,1.449999958276748657e-01,-1.822999954223632812e+00
1.092700004577636719e+01,0.000000000000000000e+00,5.346599960327148438e+01,-1.609999984502792358e-01,-1.822999954223632812e+00
1.092700004577636719e+01,7.199999690055847168e-02,5.346599960327148438e+01,1.309999972581863403e-01,-1.822999954223632812e+00
1.092700004577636719e+01,4.000000189989805222e-03,5.346599960327148438e+01,-1.379999965429306030e-01,-1.822999954223632812e+00
1.092700004577636719e+01,6.499999761581420898e-02,5.346599960327148438e+01,1.000000014901161194e-01,-1.822999954223632812e+00
1.092700004577636719e+01,1.200000010430812836e-02,5.346599960327148438e+01,-1.000000014901161194e-01,-1.822999954223632812e+00
1.092700004577636719e+01,5.499999970197677612e-02,5.346599960327148438e+01,5.700000002980232239e-02,-1.822999954223632812e+00
1.092700004577636719e+01,2.300000004470348358e-02,5.346599960327148438e+01,-5.299999937415122986e-02,-1.822999954223632812e+00
1.092700004577636719e+01,4.300000146031379700e-02,5.346599960327148438e+01,7.000000216066837311e-03,-1.822999954223632812e+00
1.092700004577636719e+01,3.599999845027923584e-02,5.346599960327148438e+01,-2.000000094994902611e-03,-1.822999954223632812e+00
1.092700004577636719e+01,2.999999932944774628e-02,5.346599960327148438e+01,-4.300000146031379700e-02,-1.822999954223632812e+00
