Time (s),Tendon 1,Tendon 2,Tendon 3,Tendon 4
0.440018,0.000000,0.000000,0.000000,0.000000
0.444018,0.000000,0.000000,0.000000,0.000000
0.448018,0.000000,0.000000,0.000000,0.000000
0.452018,0.000000,0.000000,0.000000,0.000000
0.456018,0.000000,0.000000,0.000000,0.000000
0.460018,0.000000,0.000000,0.000000,0.000000
0.464019,0.000000,0.000000,0.000000,0.000000
0.468019,0.000000,0.000000,0.000000,0.000000
0.472019,0.000000,0.000000,0.000000,0.000000
0.476019,0.000000,0.000000,0.000000,0.000000
0.480019,0.000000,0.000000,0.000000,0.000000
0.484019,0.000000,0.000000,0.000000,0.000000
0.488020,0.000000,0.000000,0.000000,0.000000
0.492020,0.000000,0.000000,0.000000,0.000000
0.496020,0.000000,0.000000,0.000000,0.000000
0.500020,0.000000,0.000000,0.000000,0.000000
0.504020,0.000000,0.000000,0.000000,0.000000
0.508020,0.000000,0.000000,0.000000,0.000000
0.512020,0.000000,0.000000,0.000000,0.000000
0.516021,0.000000,0.000000,0.000000,0.000000
0.520021,0.000000,0.000000,0.000000,0.000000
0.524021,0.000000,0.000000,0.000000,0.000000
0.528021,0.000000,0.000000,0.000000,0.000000
0.532021,0.000000,0.000000,0.000000,0.000000
0.536021,0.000000,0.000000,0.000000,0.000000
0.540022,0.000000,0.000000,0.000000,0.000000
0.544022,0.000000,0.000000,0.000000,0.000000
0.548022,0.000000,0.000000,0.000000,0.000000
0.552022,0.000000,0.000000,0.000000,0.000000
0.556022,0.000000,0.000000,0.000000,0.000000
0.560022,0.000000,0.000000,0.000000,0.000000
0.564023,0.000000,0.000000,0.000000,0.000000
0.568023,0.000000,0.000000,0.000000,0.000000
0.572023,0.000000,0.000000,0.000000,0.000000
0.576023,0.000000,0.000000,0.000000,0.000000
0.580023,0.000000,0.000000,0.000000,0.000000
0.584023,0.000000,0.000000,0.000000,0.000000
0.588024,0.000000,0.000000,0.000000,0.000000
0.592024,0.000000,0.000000,0.000000,0.000000
0.596024,0.000000,0.000000,0.000000,0.000000
0.600024,0.000000,0.000000,0.000000,0.000000
0.604024,0.000000,0.000000,0.000000,0.000000
0.608024,0.000000,0.000000,0.000000,0.000000
0.612024,0.000000,0.000000,0.000000,0.000000
0.616025,0.000000,0.000000,0.000000,0.000000
0.620025,0.000000,0.000000,0.000000,0.000000
0.624025,0.000000,0.000000,0.000000,0.000000
0.628025,0.000000,0.000000,0.000000,0.000000
0.632025,0.000000,0.000000,0.000000,0.000000
0.636025,0.000000,0.000000,0.000000,0.000000
0.640026,0.000000,0.000000,0.000000,0.000000
0.644026,0.000000,0.000000,0.000000,0.000000
0.648026,0.000000,0.000000,0.000000,0.000000
0.652026,0.000000,0.000000,0.000000,0.000000
0.656026,0.000000,0.000000,0.000000,0.000000
0.660026,0.000000,0.000000,0.000000,0.000000
0.664027,0.000000,0.000000,0.000000,0.000000
0.668027,0.000000,0.000000,0.000000,0.000000
0.672027,0.000000,0.000000,0.000000,0.000000
0.676027,0.000000,0.000000,0.000000,0.000000
0.680027,0.000000,0.000000,0.000000,0.000000
0.684027,0.000000,0.000000,0.000000,0.000000
0.688028,0.000000,0.000000,0.000000,0.000000
0.692028,0.000000,0.000000,0.000000,0.000000
0.696028,0.000000,0.000000,0.000000,0.000000
0.700028,0.000001,0.000000,0.000000,0.000000
0.704028,0.000001,0.000000,0.000000,0.000000
0.708028,0.000001,0.000000,0.000000,0.000000
0.712028,0.000001,0.000000,0.000000,0.000000
0.716029,0.000001,0.000000,0.000000,0.000000
0.720029,0.000001,0.000000,0.000000,0.000000
0.724029,0.000001,0.000000,0.000000,0.000000
0.728029,0.000001,0.000000,0.000000,0.000000
0.732029,0.000001,0.000001,0.000000,0.000000
0.736029,0.000001,0.000001,0.000000,0.000000
0.740030,0.000001,0.000001,0.000000,0.000000
0.744030,0.000001,0.000001,0.000000,0.000000
0.748030,0.000001,0.000001,0.000000,0.000000
0.752030,0.000001,0.000001,0.000000,0.000000
0.756030,0.000001,0.000001,0.000000,0.000000
0.760030,0.000001,0.000001,0.000000,0.000000
0.764031,0.000001,0.000001,0.000000,0.000000
0.768031,0.000001,0.000001,0.000000,0.000000
0.772031,0.000001,0.000001,0.000000,0.000000
0.776031,0.000001,0.000001,0.000000,0.000000
0.780031,0.000001,0.000001,0.000000,0.000000
0.784031,0.000001,0.000001,0.000000,0.000000
0.788032,0.000001,0.000001,0.000000,0.000000
0.792032,0.000001,0.000001,0.000000,0.000000
0.796032,0.000001,0.000001,0.000000,0.000000
0.800032,0.000001,0.000001,0.000000,0.000000
0.804032,0.000001,0.000001,0.000000,0.000000
0.808032,0.000001,0.000001,0.000000,0.000000
0.812032,0.000001,0.000001,0.000000,0.000000
0.816033,0.000001,0.000001,0.000000,0.000000
0.820033,0.000001,0.000001,0.000000,0.000000
0.824033,0.000001,0.000001,0.000000,0.000000
0.828033,0.000001,0.000001,0.000000,0.000000
0.832033,0.000001,0.000001,0.000000,0.000000
0.836033,0.000002,0.000001,0.000000,0.000000
0.840034,0.000002,0.000001,0.000000,0.000000
0.844034,0.000002,0.000001,0.000000,0.000000
0.848034,0.000002,0.000001,0.000000,0.000000
0.852034,0.000002,0.000001,0.000000,0.000000
0.856034,0.000002,0.000001,0.000000,0.000000
0.860034,0.000002,0.000001,0.000000,0.000000
0.864035,0.000002,0.000001,0.000000,0.000000
0.868035,0.000002,0.000001,0.000000,0.000000
0.872035,0.000002,0.000001,0.000000,0.000000
0.876035,0.000002,0.000001,0.000000,0.000000
0.880035,0.000002,0.000001,0.000000,0.000000
0.884035,0.000002,0.000001,0.000000,0.000000
0.888036,0.000002,0.000001,0.000000,0.000000
0.892036,0.000002,0.000001,0.000000,0.000000
0.896036,0.000002,0.000001,0.000000,0.000000
0.900036,0.000002,0.000001,0.000000,0.000000
0.904036,0.000003,0.000001,0.000000,0.000000
0.908036,0.000003,0.000001,0.000000,0.000000
0.912036,0.000003,0.000001,0.000000,0.000000
0.916037,0.000003,0.000001,0.000000,0.000000
0.920037,0.000003,0.000001,0.000000,0.000000
0.924037,0.000003,0.000001,0.000000,0.000000
0.928037,0.000003,0.000001,0.000000,0.000000
0.932037,0.000003,0.000001,0.000000,0.000000
0.936037,0.000003,0.000001,0.000000,0.000000
0.940038,0.000003,0.000001,0.000000,0.000000
0.944038,0.000003,0.000001,0.000000,0.000000
0.948038,0.000004,0.000001,0.000000,0.000000
0.952038,0.000004,0.000001,0.000000,0.000000
0.956038,0.000004,0.000001,0.000000,0.000000
0.960038,0.000004,0.000001,0.000000,0.000000
0.964039,0.000004,0.000001,0.000000,0.000000
0.968039,0.000004,0.000002,0.000000,0.000000
0.972039,0.000004,0.000002,0.000000,0.000000
0.976039,0.000004,0.000002,0.000000,0.000000
0.980039,0.000004,0.000002,0.000000,0.000000
0.984039,0.000005,0.000002,0.000000,0.000000
0.988040,0.000005,0.000002,0.000000,0.000000
0.992040,0.000005,0.000002,0.000000,0.000000
0.996040,0.000005,0.000002,0.000000,0.000000
1.000040,0.000005,0.000002,0.000000,0.000000
1.004040,0.000005,0.000002,0.000000,0.000000
1.008040,0.000006,0.000002,0.000000,0.000000
1.012040,0.000006,0.000002,0.000000,0.000000
1.016041,0.000006,0.000002,0.000000,0.000000
1.020041,0.000006,0.000002,0.000000,0.000000
1.024041,0.000006,0.000002,0.000000,0.000000
1.028041,0.000006,0.000002,0.000000,0.000000
1.032041,0.000007,0.000002,0.000000,0.000000
1.036041,0.000007,0.000002,0.000000,0.000000
1.040042,0.000007,0.000002,0.000000,0.000000
1.044042,0.000007,0.000002,0.000000,0.000000
1.048042,0.000007,0.000002,0.000000,0.000000
1.052042,0.000008,0.000002,0.000000,0.000000
1.056042,0.000008,0.000002,0.000000,0.000000
1.060042,0.000008,0.000002,0.000000,0.000000
1.064043,0.000008,0.000002,0.000000,0.000000
1.068043,0.000009,0.000002,0.000000,0.000000
1.072043,0.000009,0.000002,0.000000,0.000000
1.076043,0.000009,0.000002,0.000000,0.000000
1.080043,0.000009,0.000002,0.000000,0.000000
1.084043,0.000010,0.000002,0.000000,0.000000
1.088044,0.000010,0.000002,0.000000,0.000000
1.092044,0.000010,0.000002,0.000000,0.000000
1.096044,0.000010,0.000002,0.000000,0.000000
1.100044,0.000011,0.000002,0.000000,0.000000
1.104044,0.000011,0.000002,0.000000,0.000000
1.108044,0.000011,0.000002,0.000000,0.000000
1.112044,0.000012,0.000002,0.000000,0.000000
1.116045,0.000012,0.000002,0.000000,0.000000
1.120045,0.000012,0.000002,0.000000,0.000000
1.124045,0.000013,0.000002,0.000000,0.000000
1.128045,0.000013,0.000002,0.000000,0.000000
1.132045,0.000014,0.000002,0.000000,0.000000
1.136045,0.000014,0.000002,0.000000,0.000000
1.140046,0.000014,0.000002,0.000000,0.000000
1.144046,0.000015,0.000002,0.000000,0.000000
1.148046,0.000015,0.000002,0.000000,0.000000
1.152046,0.000016,0.000002,0.000000,0.000000
1.156046,0.000016,0.000002,0.000000,0.000000
1.160046,0.000017,0.000002,0.000000,0.000000
1.164047,0.000017,0.000002,0.000000,0.000000
1.168047,0.000018,0.000002,0.000000,0.000000
1.172047,0.000018,0.000002,0.000000,0.000000
1.176047,0.000019,0.000002,0.000000,0.000000
1.180047,0.000019,0.000002,0.000000,0.000000
1.184047,0.000020,0.000002,0.000000,0.000000
1.188048,0.000020,0.000002,0.000000,0.000000
1.192048,0.000021,0.000002,0.000000,0.000000
1.196048,0.000021,0.000001,0.000000,0.000000
1.200048,0.000022,0.000001,0.000000,0.000000
1.204048,0.000023,0.000001,0.000000,0.000000
1.208048,0.000023,0.000001,0.000000,0.000000
1.212048,0.000024,0.000001,0.000000,0.000000
1.216049,0.000025,0.000001,0.000000,0.000000
1.220049,0.000025,0.000001,0.000000,0.000000
1.224049,0.000026,0.000001,0.000000,0.000000
1.228049,0.000027,0.000001,0.000000,0.000000
1.232049,0.000028,0.000001,0.000000,0.000000
1.236049,0.000028,0.000000,0.000000,0.000000
1.240050,0.000029,0.000000,0.000000,0.000000
1.244050,0.000030,0.000000,0.000000,0.000000
1.248050,0.000031,0.000000,0.000000,0.000000
1.252050,0.000032,0.000000,0.000000,0.000000
1.256050,0.000033,0.000000,0.000000,0.000000
1.260050,0.000034,0.000000,0.000000,0.000000
1.264051,0.000035,0.000000,0.000000,0.000001
1.268051,0.000036,0.000000,0.000000,0.000001
1.272051,0.000037,0.000000,0.000000,0.000001
1.276051,0.000038,0.000000,0.000000,0.000001
1.280051,0.000039,0.000000,0.000000,0.000001
1.284051,0.000040,0.000000,0.000000,0.000002
1.288052,0.000041,0.000000,0.000000,0.000002
1.292052,0.000042,0.000000,0.000000,0.000002
1.296052,0.000043,0.000000,0.000000,0.000002
1.300052,0.000044,0.000000,0.000000,0.000003
1.304052,0.000046,0.000000,0.000000,0.000003
1.308052,0.000047,0.000000,0.000000,0.000003
1.312052,0.000048,0.000000,0.000000,0.000004
1.316053,0.000049,0.000000,0.000000,0.000004
1.320053,0.000051,0.000000,0.000000,0.000004
1.324053,0.000052,0.000000,0.000000,0.000005
1.328053,0.000054,0.000000,0.000000,0.000005
1.332053,0.000055,0.000000,0.000000,0.000006
1.336053,0.000057,0.000000,0.000000,0.000006
1.340054,0.000058,0.000000,0.000000,0.000007
1.344054,0.000060,0.000000,0.000000,0.000007
1.348054,0.000061,0.000000,0.000000,0.000008
1.352054,0.000063,0.000000,0.000000,0.000008
1.356054,0.000065,0.000000,0.000000,0.000009
1.360054,0.000067,0.000000,0.000000,0.000009
1.364055,0.000068,0.000000,0.000000,0.000010
1.368055,0.000070,0.000000,0.000000,0.000011
1.372055,0.000072,0.000000,0.000000,0.000011
1.376055,0.000074,0.000000,0.000000,0.000012
1.380055,0.000076,0.000000,0.000000,0.000013
1.384055,0.000078,0.000000,0.000000,0.000013
1.388056,0.000080,0.000000,0.000000,0.000014
1.392056,0.000083,0.000000,0.000000,0.000015
1.396056,0.000085,0.000000,0.000000,0.000016
1.400056,0.000087,0.000000,0.000000,0.000017
1.404056,0.000089,0.000000,0.000000,0.000018
1.408056,0.000092,0.000000,0.000000,0.000018
1.412056,0.000094,0.000000,0.000000,0.000019
1.416057,0.000097,0.000000,0.000000,0.000021
1.420057,0.000099,0.000000,0.000000,0.000022
1.424057,0.000102,0.000000,0.000000,0.000023
1.428057,0.000105,0.000000,0.000000,0.000024
1.432057,0.000108,0.000000,0.000000,0.000025
1.436057,0.000111,0.000000,0.000000,0.000026
1.440058,0.000113,0.000000,0.000000,0.000028
1.444058,0.000116,0.000000,0.000000,0.000029
1.448058,0.000120,0.000000,0.000000,0.000030
1.452058,0.000123,0.000000,0.000000,0.000032
1.456058,0.000126,0.000000,0.000000,0.000033
1.460058,0.000129,0.000000,0.000000,0.000035
1.464059,0.000133,0.000000,0.000000,0.000037
1.468059,0.000136,0.000000,0.000000,0.000038
1.472059,0.000140,0.000000,0.000000,0.000040
1.476059,0.000143,0.000000,0.000000,0.000042
1.480059,0.000147,0.000000,0.000000,0.000044
1.484059,0.000151,0.000000,0.000000,0.000046
1.488060,0.000155,0.000000,0.000000,0.000048
1.492060,0.000159,0.000000,0.000000,0.000050
1.496060,0.000163,0.000000,0.000000,0.000052
1.500060,0.000167,0.000000,0.000000,0.000054
1.504060,0.000172,0.000000,0.000000,0.000057
1.508060,0.000176,0.000000,0.000000,0.000059
1.512060,0.000181,0.000000,0.000000,0.000062
1.516061,0.000185,0.000000,0.000000,0.000064
1.520061,0.000190,0.000000,0.000000,0.000067
1.524061,0.000195,0.000000,0.000000,0.000070
1.528061,0.000200,0.000000,0.000000,0.000073
1.532061,0.000205,0.000000,0.000000,0.000076
1.536061,0.000210,0.000000,0.000000,0.000079
1.540062,0.000215,0.000000,0.000000,0.000082
1.544062,0.000221,0.000000,0.000000,0.000086
1.548062,0.000226,0.000000,0.000000,0.000089
1.552062,0.000232,0.000000,0.000000,0.000093
1.556062,0.000238,0.000000,0.000000,0.000096
1.560062,0.000244,0.000000,0.000000,0.000100
1.564063,0.000250,0.000000,0.000000,0.000104
1.568063,0.000256,0.000000,0.000000,0.000108
1.572063,0.000263,0.000000,0.000000,0.000113
1.576063,0.000269,0.000000,0.000000,0.000117
1.580063,0.000276,0.000000,0.000000,0.000121
1.584063,0.000283,0.000000,0.000000,0.000126
1.588064,0.000290,0.000000,0.000000,0.000131
1.592064,0.000297,0.000000,0.000000,0.000136
1.596064,0.000304,0.000000,0.000000,0.000141
1.600064,0.000311,0.000000,0.000000,0.000147
1.604064,0.000319,0.000000,0.000000,0.000152
1.608064,0.000327,0.000000,0.000000,0.000158
1.612064,0.000334,0.000000,0.000000,0.000164
1.616065,0.000343,0.000000,0.000000,0.000170
1.620065,0.000351,0.000000,0.000000,0.000176
1.624065,0.000359,0.000000,0.000000,0.000182
1.628065,0.000368,0.000000,0.000000,0.000189
1.632065,0.000376,0.000000,0.000000,0.000196
1.636065,0.000385,0.000000,0.000000,0.000203
1.640066,0.000394,0.000000,0.000000,0.000210
1.644066,0.000404,0.000000,0.000000,0.000218
1.648066,0.000413,0.000000,0.000000,0.000226
1.652066,0.000423,0.000000,0.000000,0.000234
1.656066,0.000432,0.000000,0.000000,0.000242
1.660066,0.000442,0.000000,0.000000,0.000251
1.664067,0.000453,0.000000,0.000000,0.000259
1.668067,0.000463,0.000000,0.000000,0.000268
1.672067,0.000474,0.000000,0.000000,0.000278
1.676067,0.000484,0.000000,0.000000,0.000287
1.680067,0.000495,0.000000,0.000000,0.000297
1.684067,0.000506,0.000000,0.000000,0.000307
1.688068,0.000518,0.000000,0.000000,0.000318
1.692068,0.000529,0.000000,0.000000,0.000329
1.696068,0.000541,0.000000,0.000000,0.000340
1.700068,0.000553,0.000000,0.000000,0.000351
1.704068,0.000565,0.000000,0.000000,0.000363
1.708068,0.000577,0.000000,0.000000,0.000375
1.712068,0.000590,0.000000,0.000000,0.000387
1.716069,0.000603,0.000000,0.000000,0.000400
1.720069,0.000616,0.000000,0.000000,0.000413
1.724069,0.000629,0.000000,0.000000,0.000426
1.728069,0.000642,0.000000,0.000000,0.000440
1.732069,0.000656,0.000000,0.000000,0.000454
1.736069,0.000669,0.000000,0.000000,0.000469
1.740070,0.000683,0.000000,0.000000,0.000483
1.744070,0.000697,0.000000,0.000000,0.000499
1.748070,0.000712,0.000000,0.000000,0.000514
1.752070,0.000726,0.000000,0.000000,0.000530
1.756070,0.000741,0.000000,0.000000,0.000547
1.760070,0.000756,0.000000,0.000000,0.000564
1.764071,0.000771,0.000000,0.000000,0.000581
1.768071,0.000786,0.000000,0.000000,0.000599
1.772071,0.000802,0.000000,0.000000,0.000617
1.776071,0.000817,0.000000,0.000000,0.000636
1.780071,0.000833,0.000000,0.000000,0.000655
1.784071,0.000849,0.000000,0.000000,0.000674
1.788072,0.000865,0.000000,0.000000,0.000694
1.792072,0.000882,0.000000,0.000000,0.000715
1.796072,0.000898,0.000000,0.000000,0.000736
1.800072,0.000915,0.000000,0.000000,0.000757
1.804072,0.000932,0.000000,0.000000,0.000779
1.808072,0.000949,0.000000,0.000000,0.000801
1.812072,0.000966,0.000000,0.000000,0.000824
1.816073,0.000983,0.000000,0.000000,0.000847
1.820073,0.001000,0.000000,0.000000,0.000871
1.824073,0.001018,0.000000,0.000000,0.000895
1.828073,0.001035,0.000000,0.000000,0.000920
1.832073,0.001053,0.000000,0.000000,0.000945
1.836073,0.001071,0.000000,0.000000,0.000971
1.840074,0.001089,0.000000,0.000000,0.000997
1.844074,0.001107,0.000000,0.000000,0.001024
1.848074,0.001125,0.000000,0.000000,0.001051
1.852074,0.001143,0.000000,0.000000,0.001079
1.856074,0.001161,0.000000,0.000000,0.001107
1.860074,0.001180,0.000000,0.000000,0.001136
1.864075,0.001198,0.000000,0.000000,0.001166
1.868075,0.001216,0.000000,0.000000,0.001195
1.872075,0.001235,0.000000,0.000000,0.001226
1.876075,0.001253,0.000000,0.000000,0.001257
1.880075,0.001272,0.000000,0.000000,0.001288
1.884075,0.001290,0.000000,0.000000,0.001320
1.888076,0.001308,0.000000,0.000000,0.001352
1.892076,0.001327,0.000000,0.000000,0.001385
1.896076,0.001345,0.000000,0.000000,0.001418
1.900076,0.001363,0.000000,0.000000,0.001452
1.904076,0.001381,0.000000,0.000000,0.001486
1.908076,0.001399,0.000000,0.000000,0.001521
1.912076,0.001417,0.000000,0.000000,0.001556
1.916077,0.001435,0.000000,0.000000,0.001592
1.920077,0.001453,0.000000,0.000000,0.001628
1.924077,0.001471,0.000000,0.000000,0.001664
1.928077,0.001488,0.000000,0.000000,0.001701
1.932077,0.001506,0.000000,0.000000,0.001739
1.936077,0.001523,0.000000,0.000000,0.001776
1.940078,0.001540,0.000000,0.000000,0.001815
1.944078,0.001557,0.000000,0.000000,0.001853
1.948078,0.001573,0.000000,0.000000,0.001892
1.952078,0.001589,0.000000,0.000000,0.001932
1.956078,0.001606,0.000000,0.000000,0.001971
1.960078,0.001621,0.000000,0.000000,0.002011
1.964079,0.001637,0.000000,0.000000,0.002052
1.968079,0.001652,0.000000,0.000000,0.002092
1.972079,0.001667,0.000000,0.000000,0.002133
1.976079,0.001682,0.000000,0.000000,0.002175
1.980079,0.001697,0.000000,0.000000,0.002216
1.984079,0.001711,0.000000,0.000000,0.002258
1.988080,0.001724,0.000000,0.000000,0.002300
1.992080,0.001738,0.000000,0.000000,0.002343
1.996080,0.001751,0.000000,0.000000,0.002385
2.000080,0.001764,0.000000,0.000000,0.002428
2.004080,0.001776,0.000000,0.000000,0.002471
2.008080,0.001788,0.000000,0.000000,0.002514
2.012080,0.001799,0.000000,0.000000,0.002557
2.016081,0.001810,0.000000,0.000000,0.002601
2.020081,0.001821,0.000000,0.000000,0.002644
2.024081,0.001831,0.000000,0.000000,0.002688
2.028081,0.001841,0.000000,0.000000,0.002731
2.032081,0.001850,0.000000,0.000000,0.002775
2.036081,0.001859,0.000000,0.000000,0.002819
2.040082,0.001867,0.000000,0.000000,0.002863
2.044082,0.001875,0.000000,0.000000,0.002907
2.048082,0.001883,0.000000,0.000000,0.002951
2.052082,0.001889,0.000000,0.000000,0.002995
2.056082,0.001896,0.000000,0.000000,0.003038
2.060082,0.001902,0.000000,0.000000,0.003082
2.064083,0.001907,0.000000,0.000000,0.003126
2.068083,0.001912,0.000000,0.000000,0.003170
2.072083,0.001916,0.000000,0.000000,0.003213
2.076083,0.001920,0.000000,0.000000,0.003257
2.080083,0.001923,0.000000,0.000000,0.003300
2.084083,0.001926,0.000000,0.000000,0.003343
2.088084,0.001928,0.000000,0.000000,0.003386
2.092084,0.001930,0.000000,0.000000,0.003429
2.096084,0.001931,0.000000,0.000000,0.003472
2.100084,0.001931,0.000000,0.000000,0.003514
2.104084,0.001931,0.000000,0.000000,0.003556
2.108084,0.001931,0.000000,0.000000,0.003598
2.112084,0.001930,0.000000,0.000000,0.003640
2.116085,0.001928,0.000000,0.000000,0.003682
2.120085,0.001926,0.000000,0.000000,0.003723
2.124085,0.001923,0.000000,0.000000,0.003764
2.128085,0.001920,0.000000,0.000000,0.003804
2.132085,0.001916,0.000000,0.000000,0.003845
2.136085,0.001912,0.000000,0.000000,0.003885
2.140086,0.001907,0.000000,0.000000,0.003925
2.144086,0.001901,0.000000,0.000000,0.003964
2.148086,0.001895,0.000000,0.000000,0.004003
2.152086,0.001889,0.000000,0.000000,0.004042
